user_id,item_id,rating,timestamp
1,101,5,2026-01-04
1,103,4,2026-01-08
1,106,5,2026-01-10
1,108,4,2026-01-12
1,116,5,2026-01-14
1,121,4,2026-01-16
2,101,4,2026-01-11
2,102,5,2026-01-15
2,104,5,2026-01-17
2,107,5,2026-01-19
2,113,4,2026-01-21
2,117,4,2026-01-23
2,119,5,2026-01-25
3,103,2,2026-01-17
3,108,3,2026-01-19
3,112,3,2026-01-21
3,109,5,2026-01-23
3,114,5,2026-01-25
3,123,5,2026-01-27
4,102,5,2026-01-05
4,104,4,2026-01-07
4,107,5,2026-01-09
4,110,4,2026-01-11
4,115,4,2026-01-13
4,118,5,2026-01-15
4,124,4,2026-01-17
5,101,5,2026-01-06
5,106,5,2026-01-08
5,116,4,2026-01-10
5,121,5,2026-01-12
5,122,4,2026-01-14
5,120,4,2026-01-16
6,102,5,2026-01-04
6,105,5,2026-01-06
6,113,5,2026-01-08
6,117,4,2026-01-10
6,119,5,2026-01-12
6,107,4,2026-01-14
6,104,5,2026-01-16
7,109,5,2026-01-05
7,114,5,2026-01-07
7,123,5,2026-01-09
7,103,3,2026-01-11
7,112,4,2026-01-13
8,110,5,2026-01-04
8,115,4,2026-01-06
8,118,5,2026-01-08
8,124,5,2026-01-10
8,122,4,2026-01-12
8,104,4,2026-01-14
9,101,4,2026-01-03
9,116,5,2026-01-05
9,106,4,2026-01-07
9,120,5,2026-01-09
9,122,5,2026-01-11
9,125,4,2026-01-13
10,102,4,2026-01-04
10,107,5,2026-01-06
10,113,5,2026-01-08
10,117,5,2026-01-10
10,125,5,2026-01-12
11,103,5,2026-01-04
11,108,5,2026-01-06
11,112,4,2026-01-08
11,109,4,2026-01-10
12,114,5,2026-01-05
12,123,5,2026-01-07
12,109,4,2026-01-09
12,103,3,2026-01-11
13,110,5,2026-01-04
13,115,5,2026-01-06
13,124,5,2026-01-08
13,118,4,2026-01-10
13,122,5,2026-01-12
14,101,5,2026-01-04
14,106,4,2026-01-06
14,116,5,2026-01-08
14,121,5,2026-01-10
15,102,5,2026-01-05
15,104,5,2026-01-07
15,107,5,2026-01-09
15,113,4,2026-01-11
15,117,5,2026-01-13
15,119,4,2026-01-15
